seqName,errors,warnings,failedGenes
"MP10_2010","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"MP9_1","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"MP4","","",""
"MP9_2","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"MRS/09/3663","","",""
"MS/7423/87","","",""
"MY104_9_SAR_97","","",""
"MY821_3_SAR_97","","",""
"MZ2008","","",""
"N1745_TW08","","",""
"N2121_TW05","","",""
"N2838_TW03","","",""
"N3340_TW_02","","",""
"N7008_TW99","","",""
"Nagoya","","",""
"NAGOYA","","",""
"Nanyang/2011_China","","",""
"NB/2010/01","","",""
"NBChina01","","",""
"NCKU9822","","",""
"NUH0075/SIN/08","","",""
"NUH0083/SIN/08","","",""
"pinf7_54A","","",""
"PLday1_CH_06","","",""
"PLday4_CH_06","","",""
"PP37_MAL_01","","",""
"Puyang_451_2012","","",""
"Puyang_461_2012","","",""
"Rostov","","",""
"S0296_TW00","","",""
"S0318_TW01","","",""
"S0584_TW04","","",""
"S10862_SAR_98","","",""
"S19841_SAR_03","","",""
"S40221_SAR_00","","",""
"SB12736_SAR_03","","",""
"SB2864_SAR_00","","",""
"SD07_1/SD/CHN/2007","","",""
"SD09_14/SD/CHN/2009","","",""
"SD09_21/SD/CHN/2009","","",""
"SDLY107","","",""
"SDLY1","","",""
"SDLY11","","",""
"SDLY153","","",""
"SDLY48","","",""
"SDLY96","","",""
"SEP4","","",""
"SH_17/SH/CHN/2002","","",""
"SH_6/SH/CHN/2002","","",""
"SH12_036","","",""
"SH12_276","","",""
"Shanghai_036_2009","","",""
"Shanghai_117_2009","","",""
"Shanghai_118_2009","","",""
"Shanghai_27_2009","","",""
"Shanghai_28_2009","","",""
"Shanghai_36_2009","","",""
"Shanghai_51_2009","","",""
"Shanghai_64_2009","","",""
"SHAPHC695F/SH/CHN/10","","",""
"SHZH03","","",""
"SHZH98","","",""
"SHZH98_pro","","",""
"SK_EV006_LPS1","","",""
"SK_EV006_org","","",""
"SK_EV006/Malaysia/97","","",""
"ST_CH_06","","",""
"subgenotype_B5","","",""
"SZ/HK08_5","","",""
"SZ/HK08_6","","",""
"Tainan/4643/98","","",""
"Tainan/5746/98","","",""
"Tainan/6092/98","","",""
"Taipei/B4_01/2011","","",""
"Taipei/C2_Y100/2011","","",""
"Taipei/C4_Y100_P4/2011","","",""
"Taipei/C4_Y100_P5/2011","","",""
"TC03F/SD/CHN/07","","",""
"THA_EV71_002","","",""
"THA_EV71_019","","",""
"THA_EV71_044","","",""
"THA_A1008","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"THA_A1048","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"THA_A1083","","",""
"THA_A1219","","",""
"THA_A1564","","",""
"THA_A1570","","",""
"THA_A575","","",""
"THA_A577","","",""
"THA_A578","","",""
"THA_A641","","",""
"THA_A683","","",""
"THA_A761","","",""
"THA_A847","","",""
"THA_A851","","",""
"TLLcho","","",""
"TLLm","","",""
"TS","","",""
"TLLmv","","",""
"TW/1101/08","","",""
"TW/1956/05","","",""
"TW/2086/98","","",""
"TW/2272/98","","",""
"TW/2429/04","","",""
"TW/2639/04","","",""
"TW/2728/04","","",""
"TW/2815/04","","",""
"TW/2824/04","","",""
"TW/2871/04","","",""
"TW/70516/08","","",""
"TW/70811/08","","",""
"TW/70886/08","","",""
"TW/70902/08","","",""
"TW/71428/05","","",""
"TW/71552/05","","",""
"TW/71595/04","","",""
"TW/72232/04","","",""
"TW/96002/08","","",""
"TW/96016/08","","",""
"TW/96022/08","","",""
"TZ06","","",""
"UH1/PM/1997","","",""
"V04_2218217","","",""
"V05_2243055","","",""
"V06_2218645","","",""
"V07_2231013","","",""
"V08_2221581","","",""
"V08_2236079","","",""
"V09_2225777","","",""
"V10_2234054","","",""
"VN152/2011","","",""
"VR1432","","",""
"wenzhou011","","",""
"wenzhou227","","",""
"wenzhou256","","",""
"wh029","","",""
"Wuhan1042/HuB/CHN/2011","","",""
"Wuhan1117/HuB/CHN/2011","","",""
"Wuhan1143/HuB/CHN/2011","","",""
"100_p0","","",""
"100_p12","","",""
"100_p17_T1","","",""
