accession	name	segment	date	host	country	abbreviation	virus	strain
HQ283785	TW-1692-98	N/A	1998-05	Human	1998-05	Taiwan	C2	TW-1692-98
HQ283793	TW-1788-98	N/A	1998-05	Human	1998-05	Taiwan	C2	TW-1788-98
HQ283795	TW-1851-98	N/A	1998-05	Human	1998-05	Taiwan	C2	TW-1851-98
HQ283807	TW-2025-98	N/A	1998-06	Human	1998-06	Taiwan	C2	TW-2025-98
HQ283831	TW-2678-98	N/A	1998-06	Human	1998-06	Taiwan	B4	TW-2678-98
HQ283843	TW-2922-98	N/A	1998-06	Human	1998-06	Taiwan	C2	TW-2922-98
HQ283851	TW-3026-98	N/A	1998-06	Human	1998-06	Taiwan	C2	TW-3026-98
HQ283859	TW-3241-98	N/A	1998-07	Human	1998-07	Taiwan	C2	TW-3241-98
HQ283881	TW-4215-98	N/A	1998-09	Human	1998-09	Taiwan	C1	TW-4215-98
HQ283886	TW-4925-98	N/A	1998-10	Human	1998-10	Taiwan	C2	TW-4925-98
HQ285093	4162/Sin/2006	N/A	2006	Human	2006	Singapore	EV71	4162/Sin/2006
HQ285095	4415/Sin/2007	N/A	2007	Human	2007	Singapore	EV71	4415/Sin/2007
HQ285108	2593/Sin/2005	N/A	2005	Human	2005	Singapore	EV71	2593/Sin/2005
HQ668190	711/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	711/CQ/CHN/2010
HQ668194	434/SD/CHN/2010	N/A	2010	Human	2010	China	C4	434/SD/CHN/2010
HQ668211	535/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	535/CQ/CHN/2010
HQ668217	765/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	765/CQ/CHN/2010
HQ668244	720/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	720/CQ/CHN/2010
HQ668246	478/SD/CHN/2010	N/A	2010	Human	2010	China	C4	478/SD/CHN/2010
HQ668249	1239/HN/CHN/2010	N/A	2010	Human	2010	China	C4	1239/HN/CHN/2010
HQ668322	619/SD/CHN/2010	N/A	2010	Human	2010	China	C4	619/SD/CHN/2010
HQ668328	1247/HN/CHN/2010	N/A	2010	Human	2010	China	C4	1247/HN/CHN/2010
HQ668348	160/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	160/CQ/CHN/2010
HQ668352	628/SD/CHN/2010	N/A	2010	Human	2010	China	C4	628/SD/CHN/2010
HQ668362	1257/HN/CHN/2010	N/A	2010	Human	2010	China	C4	1257/HN/CHN/2010
HQ668370	343/SD/CHN/2010	N/A	2010	Human	2010	China	C4	343/SD/CHN/2010
HQ668374	1253/HN/CHN/2010	N/A	2010	Human	2010	China	C4	1253/HN/CHN/2010
HQ668378	676/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	676/CQ/CHN/2010
HQ668381	264/SD/CHN/2010	N/A	2010	Human	2010	China	C4	264/SD/CHN/2010
HQ668386	658/SD/CHN/2010	N/A	2010	Human	2010	China	C4	658/SD/CHN/2010
HQ668391	605/SD/CHN/2010	N/A	2010	Human	2010	China	C4	605/SD/CHN/2010
HQ668393	622/SD/CHN/2010	N/A	2010	Human	2010	China	C4	622/SD/CHN/2010
HQ668406	818/CQ/CHN/2010	N/A	2010	Human	2010	China	C4	818/CQ/CHN/2010
HQ668421	483/SD/CHN/2010	N/A	2010	Human	2010	China	C4	483/SD/CHN/2010
HQ668424	626/SD/CHN/2010	N/A	2010	Human	2010	China	C4	626/SD/CHN/2010
HQ668426	1213/HN/CHN/2010	N/A	2010	Human	2010	China	C4	1213/HN/CHN/2010
HQ668434	238/SD/CHN/2010	N/A	2010	Human	2010	China	C4	238/SD/CHN/2010
HQ668442	647/SD/CHN/2010	N/A	2010	Human	2010	China	C4	647/SD/CHN/2010
HQ676156	ES01/GC/W/02	N/A	2002	Human	2002	Spain	N/A	ES01/GC/W/02
HQ676166	FI04/ns/W/01	N/A	2001	Human	2001	Finland	N/A	FI04/ns/W/01
HQ676171	FI09/ns/W/08	N/A	2008	Human	2008	Finland	N/A	FI09/ns/W/08
HQ676172	FI10/ns/W/08	N/A	2008	Human	2008	Finland	N/A	FI10/ns/W/08
HQ676181	GB05/Ab/W/10	N/A	2010	Human	2010	United Kingdom	N/A	GB05/Ab/W/10
HQ676186	HR02/ns/L/05	N/A	2005	Human	2005	Croatia	N/A	HR02/ns/L/05
HQ676205	JP26/Sd/L/03	N/A	2003	Human	2003	Japan	N/A	JP26/Sd/L/03
HQ676212	JP33/Sm/W/00	N/A	2000	Human	2000	Japan	N/A	JP33/Sm/W/00
HQ676221	JP42/Sm/A/03	N/A	2003	Human	2003	Japan	N/A	JP42/Sm/A/03
HQ676222	JP43/Sm/A/03	N/A	2003	Human	2003	Japan	N/A	JP43/Sm/A/03
HQ676243	MY25/Sw/A/06	N/A	2006	Human	2006	Malaysia	N/A	MY25/Sw/A/06
HQ676256	MY39/Sw/A/06	N/A	2006	Human	2006	Malaysia	N/A	MY39/Sw/A/06
HQ676270	NL03/ns/W/07	N/A	2007	Human	2007	Netherlands	N/A	NL03/ns/W/07
HQ676273	NL07/ns/W/07	N/A	2007	Human	2007	Netherlands	N/A	NL07/ns/W/07
HQ676275	NL09/ns/W/07	N/A	2007	Human	2007	Netherlands	N/A	NL09/ns/W/07
HQ676312	GB02/Ed/10/W	N/A	2010	Human	2010	United Kingdom	N/A	GB02/Ed/10/W
HQ676317	GE01/ns/07/W	N/A	2007	Human	2007	Georgia	N/A	GE01/ns/07/W
HQ676339	JP19/Sd/90/W	N/A	1990	Human	1990	Japan	N/A	JP19/Sd/90/W
HQ676361	JP41/Sm/03/A	N/A	2003	Human	2003	Japan	N/A	JP41/Sm/03/A
HQ676423	MY55/Sa/00/A	N/A	2000	Human	2000	Malaysia	N/A	MY55/Sa/00/A
HQ676436	MY68/Sa/02/W	N/A	2002	Human	2002	Malaysia	N/A	MY68/Sa/02/W
HQ676447	MY79/Sa/03/A	N/A	2003	Human	2003	Malaysia	N/A	MY79/Sa/03/A
HQ676450	MY82/Sa/03/A	N/A	2003	Human	2003	Malaysia	N/A	MY82/Sa/03/A
HQ676455	MY87/Sa/03/A	N/A	2003	Human	2003	Malaysia	N/A	MY87/Sa/03/A
HQ676464	MY96/Sa/03/A	N/A	2003	Human	2003	Malaysia	N/A	MY96/Sa/03/A
HQ676472	NL07/ns/07/W	N/A	2007	Human	2007	Netherlands	N/A	NL07/ns/07/W
HQ676480	NL15/ns/07/W	N/A	2007	Human	2007	Netherlands	N/A	NL15/ns/07/W
HQ676484	RU03/Om/07/W	N/A	2007	Human	2007	Russia	N/A	RU03/Om/07/W
HQ676486	RU05/SP/08/W	N/A	2008	Human	2008	Russia	N/A	RU05/SP/08/W
HQ676487	RU06/Kg/09/W	N/A	2009	Human	2009	Russia	N/A	RU06/Kg/09/W
HW417435	UNKNOWN-HW417435	N/A	N/A	Unknown	N/a	N/A	N/A	UNKNOWN-HW417435
JF317976	BJ47	N/A	2007	Human	2007	China	EV71	BJ47
HM002485	BJ97	N/A	2008-05-25	Human	2008-05-25	China	N/A	BJ97
JF317981	BJ110B	N/A	2008	Human	2008	China	EV71	BJ110B
HM002488	BJ366	N/A	2009-04-10	Human	2009-04-10	China	N/A	BJ366
JF317985	BJ391	N/A	2009	Human	2009	China	EV71	BJ391
JF420591	NT43	N/A	2008	Human	2008	China	C4	NT43
JF918559	SHAPHC382T/SH/CHN/09	N/A	2009-06-12	Human	2009-06-12	China	C4	SHAPHC382T/SH/CHN/09
JF918574	SHAPHC540F/SH/CHN/10	N/A	2010-06-01	Human	2010-06-01	China	C4	SHAPHC540F/SH/CHN/10
JF937666	74-Luan(CHN)-10	N/A	2010-05	Human	2010-05	China	C	74-Luan_CHN_-10
JF937667	79-Luan(CHN)-10	N/A	2010-05	Human	2010-05	China	C	79-Luan_CHN_-10
JN251929	17/EV71/YN/CHN/2010	N/A	2010-06-25	Human	2010-06-25	China	N/A	17/EV71/YN/CHN/2010
JN408337	3-YN-CHN-2009	N/A	2009-05	Human	2009-05	China	N/A	3-YN-CHN-2009
JN835279	G400-1039F/HeN/CHN/2009	N/A	2009-05-15	Human	2009-05-15	China	C4a	G400-1039F/HeN/CHN/2009
JN835282	G523-1157T/HeN/CHN/2009	N/A	2009-06-06	Human	2009-06-06	China	C4a	G523-1157T/HeN/CHN/2009
JN864019	EV71/Ningbo.CHN/002/2010	N/A	2010	Human	2010	China	C4	EV71/Ningbo.CHN/002/2010
JN874550	B3-SK-EV006-MA-97	N/A	1997	Human	1997	Malaysia	B3	B3-SK-EV006-MA-97
JQ410996	EV71/CMU5-1/BJ/CHN/2009	N/A	2009	Human	2009	China	N/A	EV71/CMU5-1/BJ/CHN/2009
JQ410997	EV71/CMU6-1/BJ/CHN/2009	N/A	2009	Human	2009	China	N/A	EV71/CMU6-1/BJ/CHN/2009
JQ410998	EV71/CMU6-2/BJ/CHN/2009	N/A	2009	Human	2009	China	N/A	EV71/CMU6-2/BJ/CHN/2009
JQ410999	EV71/CMU17-1/BJ/CHN/2009	N/A	2009	Human	2009	China	N/A	EV71/CMU17-1/BJ/CHN/2009
