accession	name	segment	date	host	country	abbreviation	virus	strain
FJ360544	GZ-08-01		2008-05-XX	Human	2008-05	China		GZ-08-01
GQ231927	TW/2429/04		20XX-XX-XX	Human	N/a	Taiwan		TW/2429/04
GQ231933	TW/70516/08		20XX-XX-XX	Human	N/a	Taiwan		TW/70516/08
GQ231940	TW/72232/04		20XX-XX-XX	Human	N/a	Taiwan		TW/72232/04
GU198367	FY08-C30-P2		2008-05-XX	Human	2008-05	China		FY08-C30-P2
GU396280	EV71/Lanzhou01		2009-XX-XX	Human	2009	China	C	EV71/Lanzhou01
HM053669	BJ293		2008-07-28	Human	2008-07-28	China		BJ293
GU350629	Fuyang-0805a		20XX-XX-XX	Human	N/a	China		Fuyang-0805a
HQ647170	EV124_07		2007-10-XX	Human	2007-10	Canada		EV124_07
HQ891926	Shanghai 51-2009		2009-XX-XX	Human	2009	China		Shanghai51-2009
HQ891927	Shanghai 64-2009		2009-XX-XX	Human	2009	China		Shanghai64-2009
HQ891929	Shanghai 118-2009		2009-XX-XX	Human	2009	China		Shanghai118-2009
HQ998852	EV71/Henan/106/2009		2009-XX-XX	Human	2009	China		EV71/Henan/106/2009
JN256062	M183-1176F/HeN/CHN/2009		20XX-XX-XX	Human	N/a	China	C4a	M183-1176F/HeN/CHN/2009
JN992285	0964/SYD/98		20XX-XX-XX	Human	N/a	Australia		0964/SYD/98
JQ514785	BC08		2008-08-XX	Human	2008-08	China	C	BC08
JQ639383	HN1360/HN/CHN/2011		2011-XX-XX	Human	2011	China		HN1360/HN/CHN/2011
JQ639384	HN318/HN/CHN/2011		2011-03-11	Human	2011-03-11	China		HN318/HN/CHN/2011
JQ736684	SHAPHC695F/SH/CHN/10		2010-06-29	Human	2010-06-29	China	C4a	SHAPHC695F/SH/CHN/10
JQ804832	EV71/Hubei-XF/CHN/2010		2010-09-01	Human	2010-09-01	China	C4	EV71/Hubei-XF/CHN/2010
JQ950555	26M/AUS/4/99/GuaR1		2010-09-13	Human	2010-09-13	Australia	B3	26M/AUS/4/99/GuaR1
JX111890	GD-DG2011-3		2011-04-19	Human	2011-04-19	China	C4	GD-DG2011-3
JX111892	GD-DG2011-8		2011-05-08	Human	2011-05-08	China	C4	GD-DG2011-8
JX244185	SDLY96		2009-XX-XX	Human	2009	China		SDLY96
KU936129	SHAPHC5427/SH/CHN/14		2014-06-02	Human	2014-06-02	China	C4a	SHAPHC5427/SH/CHN/14
KX372310	SiICRC08/TH/2011		2011-08-10	Human	2011-08-10	Thailand		SiICRC08/TH/2011
KX372312	SiICRC15/TH/2011		2011-08-10	Human	2011-08-10	Thailand		SiICRC15/TH/2011
KX372322	SiICRC11/TH/2012		2012-10-01	Human	2012-10-01	Thailand		SiICRC11/TH/2012
KX372326	SiICRC04/TH/2013		2013-02-05	Human	2013-02-05	Thailand		SiICRC04/TH/2013
KX372327	SiICRC05/TH/2013		2013-11-01	Human	2013-11-01	Thailand		SiICRC05/TH/2013
KY074643	HP		2008-XX-XX	Human	2008	China	C4	HP
KY888026	USA/2016/19522		2016-XX-XX	Human	2016	USA		USA/2016/19522
LR027534	12	PMB263109	FRA16		N/a	Unknown		12
LR027541	2005-1480	NLD05	20XX-XX-XX		Unknown			2005-1480
LT719065	MAD-72341-04		2004-XX-XX	Human	2004	Madagascar		MAD-72341-04
LT719068	CAF-RS2-NMA-008-03		2003-XX-XX	Human	2003	Central African Republic		CAF-RS2-NMA-008-03
MF362981	GZ203KL21/GD/CHN/2010		2010-05-XX	Unknown	2010-05	China		GZ203KL21/GD/CHN/2010
MF662685	R642/YN/CHN/2010		2010-07-02	Human	2010-07-02	China		R642/YN/CHN/2010
MF662686	R993/YN/CHN/2010		2010-09-05	Human	2010-09-05	China		R993/YN/CHN/2010
MF662694	RW15/YN/CHN/2012		2012-06-14	Human	2012-06-14	China		RW15/YN/CHN/2012
