seqName,errors,warnings,failedGenes
"EV71/Homosapiens/KHM/312/2012","Unable to align: no seed matches","","<<ALL>>"
"EV71/Homosapiens/KHM/280/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/KHM/330/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/KHM/268/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02-1-055","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02-0-060","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02-0-083","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02-0-090","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02-1-075","","",""
"THA_A1083","Unable to align: no seed matches","","<<ALL>>"
"YN2012-A083","","",""
"YN2012-A059","","",""
"YN2012-A060","","",""
"YN2012-A079","","",""
"YN2012-A088","","",""
"YN2013-A005","","",""
"YN2013-A106","","",""
"YN2013-A121","","",""
"YN2013-A138","","",""
"YN2013-C218","","",""
"YN2013-A051","","",""
"4217/Komi.RUS/2013","","",""
"3358/Bash/Sterl/Zagorodny.RUS/2013","","",""
"Nanping","","",""
"279/SZ/CHN/2013","","",""
"13/SZ/CHN/2014","","",""
"EV71/SZ04/CHN/2014","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"10MC16_2010.06_XH","","",""
"10MC28_2010.07_XH","","",""
"10MF41_2010.08_JJ","","",""
"10MC48_2010.10_XH","","",""
"10MF65_2010.12_JJ","","",""
"11MG1_2011.01_GG","","",""
"11MM19_2011.07_JY","","",""
"11MA141_2011.11_TZ","","",""
"11MJ55_2011.11_TX","","",""
"12MF6_2012.02_JJ","","",""
"12MA157_2012.03_TZ","","",""
"12MA158_2012.03_TZ","","",""
"12MF20_2012.04_JJ","","",""
"12MD22_2012.05_TZ","","",""
"12MC30_2012.06_XH","","",""
"12MG23_2012.07_GG","","",""
"13MF13_2013.03_JJ","","",""
"13MEJ3_2013.04_TZ","","",""
"13MM25_2013.05_JY","","",""
"13MH13_2013.05_TZ","","",""
"13MG28_2013.06_GG","","",""
"NIG13_194","","",""
"451-CSF/EV71/RUS/Omsk/2013","","",""
"C4-ND-114_Vietnam_CaMau_2012-04-15","Unable to align: no seed matches","","<<ALL>>"
"B5-ND-12_Vietnam_HungYen_2012-02-13","","",""
"C4-ND-18_Vietnam_Hanoi_2012-02-14","","",""
"C4-ND-55_Vietnam_BinhPhuoc_2012-03-12","","",""
"C4-ND-58_Vietnam_DongThap_2012-02-11","","",""
"C4-ND-83_Vietnam_AnGiang_2012-06-20","","",""
"C4-ND-84_Vietnam_AnGiang_2012-06-24","","",""
